employee_id,age,gender,department,job_level,tenure_years,salary,compa_ratio,performance_rating,engagement_score,satisfaction_score,overtime_hours_per_week,years_since_last_promotion,work_life_balance,training_hours_last_year,manager_tenure_years,num_prior_companies,commute_miles,attrited
EMP00001,26,Male,Finance,1,2.6,40900,0.72,4,3.4,3.2,0.8,1.1,3,40,5.2,6,21,1
EMP00002,39,Female,Sales,5,11.8,266900,1.178,3,8.4,1.2,3.8,0.5,2,40,20.0,2,12,0
EMP00003,39,Male,Marketing,4,1.9,129200,0.796,4,6.6,2.8,6.5,0.2,3,10,4.7,6,5,0
EMP00004,25,Male,Sales,4,3.2,151800,0.912,3,5.6,2.4,8.5,2.1,4,10,4.6,2,10,0
EMP00005,22,Male,Sales,5,1.3,171800,0.766,4,5.0,3.5,18.7,9.6,2,40,2.9,4,18,0
EMP00006,22,Female,Engineering,1,5.1,57900,0.948,4,6.1,2.5,5.8,4.3,3,10,8.1,4,1,0
EMP00007,45,Female,Engineering,2,19.3,101500,1.276,3,7.7,4.9,7.4,1.4,4,10,20.0,1,15,0
EMP00008,22,Male,Sales,3,4.6,112400,1.088,4,7.5,4.5,3.3,1.9,3,80,6.0,2,12,0
EMP00009,26,Male,Sales,3,2.2,88900,0.903,4,5.2,3.1,2.7,0.8,3,40,3.8,1,4,0
EMP00010,32,Male,Sales,1,5.2,71100,1.279,3,5.0,2.0,5.2,0.4,3,20,0.5,9,21,0
EMP00011,27,Non-binary,Engineering,3,0.7,93100,0.906,2,7.7,3.9,14.3,1.6,2,40,5.2,1,5,1
EMP00012,37,Female,Operations,1,11.0,52100,0.795,4,5.2,1.4,8.3,1.6,3,40,4.9,3,5,0
EMP00013,30,Male,Engineering,1,3.5,57600,1.056,4,6.6,5.0,3.2,1.8,3,60,6.0,4,10,0
EMP00014,35,Female,Engineering,2,3.0,79400,1.104,5,6.7,5.4,3.4,7.6,4,40,0.5,1,17,0
EMP00015,25,Male,R&D,2,4.4,82800,1.081,5,7.1,3.2,4.1,2.3,4,60,4.2,2,40,0
EMP00016,27,Female,Marketing,2,4.9,98800,1.063,4,8.0,7.9,7.9,2.3,4,20,1.4,3,2,0
EMP00017,22,Male,Marketing,1,0.4,53600,1.032,4,4.2,2.2,3.1,0.3,3,40,5.7,1,8,1
EMP00018,35,Female,Operations,4,5.7,151800,1.014,4,3.1,4.8,10.5,10.0,3,0,1.1,4,1,1
EMP00019,32,Male,Sales,2,1.4,65900,0.892,4,5.5,2.4,10.9,3.7,2,10,4.6,2,21,1
EMP00020,33,Female,Finance,1,6.3,68700,1.06,3,9.7,2.7,1.3,5.2,3,40,1.4,1,9,0
EMP00021,39,Female,Sales,4,8.6,165900,0.952,3,10.0,7.2,2.5,1.3,4,0,0.5,3,18,0
EMP00022,27,Female,Engineering,5,8.1,216100,1.243,4,9.8,6.8,2.8,1.7,3,40,4.0,2,6,0
EMP00023,38,Female,Finance,4,4.0,115000,0.72,1,6.2,4.1,0.0,1.8,4,60,0.5,6,28,0
EMP00024,37,Female,Sales,3,3.7,130600,1.046,4,3.3,1.0,6.3,0.5,2,20,4.3,5,11,0
EMP00025,30,Male,HR,3,0.8,85400,0.932,4,2.3,1.4,4.2,2.9,3,0,10.4,2,43,0
EMP00026,41,Male,HR,2,7.5,78400,0.989,3,5.4,2.6,4.1,5.8,3,40,13.9,2,1,0
EMP00027,22,Male,Engineering,1,1.6,59500,1.093,4,6.1,3.4,3.6,0.4,3,60,1.1,2,11,0
EMP00028,26,Non-binary,Engineering,2,3.4,67300,0.9,5,8.8,7.2,4.5,0.2,4,40,6.6,2,22,0
EMP00029,24,Male,Finance,2,1.7,62700,0.788,4,8.1,5.6,1.3,3.4,4,40,1.7,3,14,1
EMP00030,30,Female,Sales,2,0.7,56400,0.9,3,6.9,5.6,3.8,0.8,2,20,9.2,4,1,0
EMP00031,25,Female,Marketing,3,5.0,120600,1.215,3,4.9,2.8,2.5,2.4,2,0,6.2,2,54,0
EMP00032,30,Male,Operations,2,0.3,69900,0.794,4,4.8,2.5,0.4,3.0,2,40,0.5,1,5,1
EMP00033,38,Male,Engineering,1,6.9,93200,1.4,4,7.0,2.5,0.4,1.0,3,20,2.1,2,4,0
EMP00034,31,Male,Engineering,1,1.9,49500,0.763,3,7.8,4.4,13.3,4.2,2,60,1.6,1,10,0
EMP00035,28,Male,Marketing,3,0.3,88400,0.848,3,7.2,1.0,0.0,2.0,4,20,6.2,4,12,1
EMP00036,24,Male,Operations,1,3.6,54100,1.092,5,4.6,1.9,9.6,5.1,3,40,2.1,3,22,0
EMP00037,22,Male,Finance,4,0.3,145600,0.97,4,7.7,4.9,2.2,3.6,3,40,4.6,2,7,0
EMP00038,34,Female,Operations,2,1.6,72200,0.941,5,7.3,5.8,12.2,5.1,3,40,3.7,2,9,0
